WORD , COUNT
shoulders , 8
placed , 8
ripping , 8
elegant , 8
bobbing , 8
delicious , 8
indignant , 8
Pirates , 8
curtain , 8
oddly , 8
attire , 8
circling , 8
tremble , 8
Will , 8
relief , 8
solemnly , 8
4 , 8
consulting , 8
corners , 8
friendly , 8
trusted , 8
mischievous , 8
church , 8
objects , 8
start , 8
recalled , 8
Fulsom , 8
cocky , 8
hungry , 8
older , 8
snatch , 8
fact , 8
PETER , 8
parting , 8
Our , 8
butter , 8
romp , 8
guesses , 8
admire , 8
Save , 8
ended , 8
surf , 8
partly , 8
faster , 8
ups , 8
Leader , 8
eagle , 8
daresay , 8
3 , 8
picking , 8
bump , 8
constantly , 8
cloud , 8
coral , 8
avoid , 8
shoot , 8
share , 8
laughing , 8
AWAY , 8
candle , 8
forgets , 8
lines , 8
occasional , 8
calmly , 8
naught , 8
fitting , 8
wishing , 8
Strange , 8
sand , 8
leg , 8
cave , 8
brushwood , 8
burned , 8
curls , 8
annoyed , 8
threatening , 8
arose , 8
thousand , 8
birth , 8
roar , 8
spread , 8
prey , 8
win , 8
darker , 8
apart , 8
huddled , 8
disquieting , 8
visible , 8
progress , 8
slow , 8
pushing , 8
bigger , 8
fists , 8
poised , 8
intently , 8
bright , 8
bore , 8
holes , 8
tapped , 8
thirty , 8
uneasy , 8
Suppose , 8
places , 8
wondered , 8
lingering , 8
flashing , 8
entreated , 8
Blackbeard , 8
later , 8
Left , 8
claws , 8
fist , 8
shooting , 8
plucked , 8
flamingo , 8
gnashed , 8
bracelet , 8
tells , 8
thoughtfully , 8
gun , 8
refused , 8
send , 8
agreed , 8
Presently , 8
nobody , 8
sworn , 8
knives , 8
echoes , 8
savagely , 8
dashed , 8
learn , 8
treading , 8
upwards , 8
companion , 8
planned , 8
destruction , 8
Fairies , 8
scoundrel , 8
hatred , 8
staggering , 8
mention , 8
entrance , 8
Feeling , 8
tidying , 8
nights , 8
messy , 8
disposed , 8
follows , 8
fault , 8
numbers , 8
according , 8
rules , 8
counting , 8
sugar , 8
therefore , 8
gather , 8
sticks , 8
firewood , 8
spout , 8
pence , 8
humblest , 8
careful , 8
Take , 8
plunge , 8
passes , 8
gaiety , 8
